,GSM2648568,GSM2648569,GSM2648573,GSM2648575,GSM2648576,GSM2648580,GSM2648583,GSM2648585,GSM2648587,GSM2648590
KCNAB2,1595.9422094797371,1615.302379884885,1609.2017779894054,1633.635175242779,1490.2836482852385,1615.4087404798825,1636.4245163474639,1626.2233958622032,1598.214173716036,1620.8238750580606
PGD,1669.1771681313003,1658.0204067453853,1654.5747961273146,1685.5186333063543,1701.549463583438,1682.9262198268245,1674.811930483947,1684.1790687384103,1680.933198773369,1690.5978742458497
RNU5E,1436.6328679622995,1436.8547833240789,1461.8989824883936,1433.0196858188983,1417.8441394699453,1431.135678327373,1396.748265390658,1446.4306324620698,1358.742049091557,1451.7379478734679
PLOD1,1447.4106467062245,1464.953733825015,1472.956755874891,1399.216328212074,1321.2894712925515,1387.2979888372479,1422.86483325281,1412.9759772955683,1391.2442797704998,1407.7109280066268
MFN2,1392.6866907442784,1414.3695910463625,1407.0934481469703,1424.2805821325915,1389.0351646565546,1413.5494694977986,1423.3316663884564,1411.8056119041053,1418.178568137796,1404.9204059827384
EFHD2,1396.166573072115,1352.202462344523,1367.5515022627856,1339.3074005175292,1396.8967954000796,1348.7286424322415,1357.491168583238,1377.1805913461408,1424.51926589186,1344.7327189913835
NECAP2,1465.7957055822453,1417.741958623681,1409.6593554434407,1410.3547779057606,1504.5950700877272,1424.2135780938245,1400.802848477611,1417.7546270986065,1455.3610981511665,1409.2656278688814
RPL11,1576.8028566766359,1587.4830891342633,1591.9524182663874,1570.9423206522433,1573.9241195979707,1565.7796197060695,1574.0171643433348,1597.1463179142972,1577.6069060153275,1567.0868239212402
PNRC2,1561.356943102686,1569.5382551557664,1566.7999545331083,1575.2721119044174,1616.1276476687003,1570.6358906974906,1580.9949466826156,1566.7305062203673,1558.567032539416,1582.4408536348271
SRRM1,1443.6788767511957,1438.3394475867763,1454.5175490650893,1424.5822142020904,1420.8387838008705,1426.859097341685,1440.4973953939045,1444.8153913370095,1457.490620671244,1443.8754912637382
CLIC4,1578.1280046283848,1559.3320451504255,1546.0837446101632,1566.5097002854673,1654.1025504342053,1578.3441271416436,1553.6838352086622,1558.2053183162361,1592.9690106688322,1553.5379430794085
TMEM50A,1592.2350807056296,1579.8184927420727,1579.8239194231983,1613.9948143538006,1681.15086189097,1616.298783389628,1614.9762798417764,1604.3916325540802,1620.5707409049771,1608.5847193642728
SDHD,1432.0906769458707,1443.1320480137301,1442.1165766082406,1451.5837686417094,1439.494645882708,1424.6469784047144,1443.1487329966494,1435.9384093912336,1437.552162548132,1421.0353627415839
SEPN1,1583.9638576431637,1594.3347530169624,1596.0532146126675,1630.5379623109675,1622.2754925451259,1605.9655355987607,1639.2035465431948,1624.4945403190243,1620.7170857409744,1617.7514268267566
CD52,1652.530681464702,1654.9935012125725,1662.1794114552747,1658.758384522335,1659.2328780379682,1647.7414974269875,1664.2546364251652,1665.852926211032,1657.8845709581215,1664.148816554007
HMGN2,1632.5685870097402,1621.8538208003351,1632.1032536781818,1579.256397331529,1578.6780485358304,1581.4544921488177,1642.791296494501,1606.9103136304454,1597.7819777517811,1648.344526052848
RPS6KA1,1493.2062814478127,1515.4062720152842,1518.1093305364225,1534.719051215119,1507.8875243521145,1527.912463836309,1550.7771124199458,1530.516252657153,1509.87249799715,1544.0222492922112
CCDC72,1492.180934530602,1478.8764025710511,1484.456785428283,1495.4342162725782,1499.1062675640558,1527.2274999380256,1503.280959983819,1509.2730941657892,1491.7421508384195,1552.9686163692872
STX12,1394.3609220924072,1409.948499405365,1408.1559583188277,1398.5006375744442,1459.0549677624674,1410.7371526539494,1393.579292222799,1407.0392817367667,1413.8484022427645,1404.6507969397242
PHACTR4,1456.7236441398486,1463.802193676662,1457.4394520376973,1425.1457177501095,1603.1977330575505,1433.8085414434286,1430.3657433117417,1420.032390854624,1399.4874603925327,1445.300176612864
EIF3I,1498.4466392570016,1514.8222766543338,1521.0312335090312,1513.3182558841547,1538.891468675097,1513.741504144282,1510.466071156872,1519.299908776862,1519.8936999911164,1508.484492845762
HDAC1,1426.587479873525,1420.8867599335872,1418.3429115129268,1415.692294481034,1354.7431780681986,1417.264133992081,1428.3130505535314,1416.2653200273646,1405.5436747270876,1410.2003637895855
RBBP4,1546.1341691115206,1553.8224738930094,1564.6817802600883,1566.870287714005,1521.079401404736,1568.0477935728393,1586.8839093849324,1551.1393228183028,1566.7568725202907,1570.2400180080665
ZMYM4,1355.4377127096725,1373.9985126786958,1383.1541081408384,1386.9590977515177,1410.4319811259975,1385.7393883501366,1375.0830887807583,1371.1234371271653,1367.0584021315888,1366.5577763094589
EIF2C1,1335.2853335798209,1363.5001679047666,1356.8071419927032,1359.535121309114,1269.636682208011,1373.0272240263096,1371.7250481929625,1379.9045996841662,1364.136018850504,1367.8805029088155
RPS27,1702.518054871843,1686.3976461155066,1706.5323650596351,1661.490896861025,1665.005702998182,1667.4523248153089,1688.7180657716751,1671.6636877160156,1669.2037285535991,1670.4812076302853
MFSD2A,1531.135903657635,1495.1912588871776,1458.7182980435155,1501.3804812062954,1703.8892018106849,1525.9778851615172,1448.5791007951254,1480.4670482032748,1610.0981950242895,1445.2454336599678
RLF,1604.5584090750963,1609.8092592010169,1611.1666002788586,1615.4878930978214,1638.2938064662542,1607.719644743466,1622.4922933256848,1637.0701506715059,1627.4995534205268,1639.1504471139162
SMAP2,1760.5904735300473,1750.0682201515108,1756.530588559058,1746.3249164076592,1777.4399828776934,1753.1985938944065,1756.9594589327505,1756.3392815762693,1758.813270281548,1760.3910334671518
ZNF642,1394.7113744432831,1412.4407612978716,1423.3008359102157,1408.3571509727592,1236.2066899270656,1390.7515193902686,1400.057288499211,1400.2265231948813,1384.4125745760325,1396.2436479486764
NFYC,1716.7236956727716,1721.1933509315654,1712.499400277361,1717.5930907330044,1711.8487237823385,1716.2624967366835,1734.0846352860733,1728.8541743304354,1719.1715999399187,1729.474950818972
CTPS,1513.7310162004694,1466.4671865914213,1450.6125503406845,1485.9780508937802,1508.9215866210805,1511.089148929373,1486.719367977443,1497.2587116618456,1533.937333411895,1496.5601091311278
PPCS,1420.7817438576499,1439.2428582507816,1439.6396682308045,1455.7120148292636,1402.3083879410012,1451.832252164122,1444.241671749516,1441.4069587934503,1439.2481213952067,1446.889090820679
YBX1,1796.2818551395499,1793.87472662843,1803.8122912067217,1785.4890985224004,1790.3850637354549,1787.7338994246134,1785.8166119088744,1795.0284130666944,1792.512246114677,1795.6085436391575
K,1408.1928383160348,1418.4890888389814,1420.5487154908424,1406.4459004960238,1354.8995282832664,1387.2706449690531,1430.5387461796577,1403.8142748802907,1382.730292816434,1422.9965290290932
ATP6V0B,1509.4845193550923,1470.9554514077392,1486.1395496051039,1500.2191977387238,1500.803508434852,1493.9623170854734,1497.3219723111552,1474.8670893535957,1481.9999614289723,1474.0142239807908
RPS8,1676.0616402897151,1692.4857292093573,1696.2495668758067,1701.5969936655201,1690.8558809726383,1690.9201996936147,1691.9227379440247,1692.149873036059,1689.3240919401471,1701.831128180168
SNORD46,1417.389474617532,1369.3949567594295,1363.4418060246016,1375.780887466852,1396.0516218389112,1374.53797274408,1402.9379235538768,1413.6152295035372,1415.3050120590021,1387.434138253841
TMEM69,1381.6145867837974,1360.3763410761342,1364.4392785248574,1319.7606826755818,1303.3351170539804,1337.3191399892216,1345.5976333255999,1334.7757208438718,1348.198929439491,1346.3120531824416
OSBPL9,1394.3883011823195,1412.209082387072,1414.5173272085838,1398.3662741980309,1363.0068522218978,1392.5931289131977,1399.869182206318,1391.0401815082041,1366.7256385932876,1405.170854992239
BTF3L4,1464.3103899545101,1456.4227405593012,1468.828575245831,1456.9651589725465,1376.9807560997956,1456.9359851627073,1434.033129503835,1448.1266356433828,1458.9444950699863,1450.3050510814076
GPX7,1377.8869236922558,1375.0376405744707,1374.422629576488,1342.4098234578141,1306.681204681385,1339.709951104846,1346.6121715724505,1330.3086209391927,1292.27714833294,1308.7876749753862
