,GSM2648567,GSM2648570,GSM2648571,GSM2648572,GSM2648574,GSM2648577,GSM2648578,GSM2648579,GSM2648581,GSM2648582,GSM2648584,GSM2648586,GSM2648588,GSM2648589
KCNAB2,1613.5044175782584,1610.297082982776,1570.6384001334704,1598.5450499444544,1610.2143581992395,1624.8047430150302,1627.3509649420935,1611.2366492220615,1619.8517725247987,1620.8882823756785,1528.486798273331,1621.722069654992,1624.0845090247906,1621.4198807994508
PGD,1657.0543457071246,1668.0034750548616,1670.0185446170258,1672.202297416271,1665.905821678183,1677.2881633963357,1678.245383094647,1689.5168259683028,1684.1886857955762,1683.825401325723,1692.9702398555708,1667.5013421021058,1680.4055608036913,1681.264366851901
RNU5E,1431.519220082616,1434.7874500401936,1407.2975166300469,1451.2250743469674,1461.1325310963841,1466.5472547677869,1497.3386991212274,1493.0525387820014,1470.5182525762566,1487.7366971208899,1379.5680114853656,1405.3533105800757,1389.135629164536,1344.1103307134722
PLOD1,1464.8168663708361,1456.9669454390832,1437.9229073407973,1445.8718456950012,1467.1424012559826,1387.8432951266263,1402.522822484714,1386.6075248495245,1377.7508940358155,1398.0745942208407,1338.7181188933707,1413.7077942059148,1419.9309778930246,1417.7874668820032
MFN2,1416.545763139574,1410.718590218436,1405.3815506426986,1401.405930813442,1417.806581288285,1407.4762602420692,1397.9747061294454,1398.6818683667282,1402.0073744331476,1404.6330733363786,1386.4443612300647,1416.7404167983864,1419.1207904331538,1409.614480125783
EFHD2,1340.2237534980375,1349.1643295155736,1414.0771937079599,1392.0805982807362,1353.4178203222114,1358.924623176564,1349.5120906041718,1387.3379817485338,1341.1590443559269,1349.0102682102586,1426.2922439142833,1390.7645683669948,1364.871817073195,1363.2156107188184
NECAP2,1407.0033706176625,1417.6270923037937,1471.7570627721561,1454.1407821973341,1427.1095309873892,1404.9234557477903,1403.7673115684242,1445.6886777277784,1398.2141013553176,1404.6658111689023,1471.1082136189323,1426.4909786090695,1431.9439604832912,1405.9767212063339
RPL11,1547.5230833315347,1567.9178175150462,1577.7747584686572,1601.266194583002,1568.3016883601786,1573.1189886715306,1571.6218704478904,1564.7408871317734,1565.0185092493757,1569.6876763853031,1560.8048165812515,1590.6167331684596,1585.0981787857643,1563.3990625317413
PNRC2,1585.58987021666,1574.0212860637034,1549.77049669067,1569.2591760752146,1587.4372247176573,1563.09079680583,1564.9341061943135,1557.583499755661,1565.7103040157283,1564.9802488836972,1594.1794648619468,1542.1002680597219,1566.0676841699844,1568.3611353413849
SRRM1,1437.9890800705439,1430.205056762411,1452.4101794034775,1447.0337443120648,1443.104292734064,1443.9517252071378,1443.6728365289646,1440.4187582716809,1446.650650893738,1433.9866324227485,1420.8646329213186,1453.4273178388923,1442.5134111019097,1454.570011563579
CLIC4,1543.9119668163491,1558.2875353770344,1601.6642031368692,1579.5148495996489,1551.3286075669753,1561.305609286289,1554.3886986955085,1574.213659342618,1540.2448883856775,1539.3342493306122,1638.4519855571607,1549.1933345854754,1566.111552188116,1544.100744623599
TMEM50A,1599.7026891439389,1615.2231215287763,1609.9662668837595,1594.5126588713204,1606.88011516549,1610.469974065081,1605.808476823093,1615.3318413517677,1627.0085053640857,1600.0642927380318,1667.5712217209382,1605.869162156422,1601.5856992254692,1592.4847167729936
SDHD,1436.5747832038755,1436.2537611248981,1451.9865349982863,1433.6198440042206,1429.1183095064878,1431.854245589253,1434.2340964061339,1434.0504278816252,1439.6562919739697,1446.6384406167201,1401.82190446666,1420.9052917769914,1449.724216582316,1447.418990175102
SEPN1,1597.3496390275923,1580.5245331714025,1571.8546695548255,1583.7267320865042,1587.4180150870102,1615.493631063453,1621.142165237181,1606.9833731365998,1616.9959018226773,1623.938357105783,1620.064147554378,1630.2757967225657,1630.4261793959615,1638.8165496297313
CD52,1645.3699512447067,1652.8269499624732,1633.1587481756892,1648.816347420941,1653.6363561605742,1662.710270208836,1658.5600766016653,1654.8119465090351,1653.1070428315875,1657.0949610702976,1658.882916671363,1691.4916265796592,1670.3419632691546,1671.3566383469552
HMGN2,1635.4876889331313,1634.1701608389756,1602.9775007929616,1600.3687375143975,1581.9885501962497,1592.9950780245238,1609.918565770609,1585.0519498609385,1617.735453624182,1622.5238099254973,1564.082020481186,1615.5785011860567,1602.1655795901481,1592.3821098083606
RPS6KA1,1533.132064536103,1516.3545980265908,1479.1899721909767,1505.0094709439143,1526.5083926544244,1519.0907732752282,1530.4022632640908,1505.0805473466557,1546.0930784617851,1539.4133657592106,1484.9916160346509,1523.7767418836422,1541.9594664554543,1538.978604949128
CCDC72,1499.0806747627398,1519.543242766345,1480.373443335801,1490.5624673845773,1519.1977560767216,1504.2970731802402,1518.441795261111,1499.8024511342255,1512.5539949175188,1511.850838927147,1523.6108912114632,1514.1622152504194,1516.988968009522,1508.5576920747874
STX12,1418.7508054442924,1418.154197595681,1418.9819026441885,1407.4332798894588,1410.568666883746,1405.931465227072,1398.1411838358188,1403.609726849596,1393.2460052127353,1392.9224778274572,1435.0245752127241,1379.097147237554,1409.1490415615806,1401.4387571838395
PHACTR4,1460.711020040857,1468.5550472326759,1440.6861621385274,1453.1021982919874,1459.0771006171424,1426.9480531101472,1436.3969420176256,1417.4202682946684,1432.5555030901469,1445.6726745572773,1590.4509919111395,1423.4954565195417,1432.2825667482455,1430.5763989538389
EIF3I,1509.8263159754795,1506.9940295054669,1519.356928182515,1514.2690356303713,1508.4952475733273,1516.8930940717532,1519.0940603729675,1517.5460123750825,1511.9181441066305,1514.6935740512693,1514.615778240106,1516.9090265609543,1507.1310018099778,1506.6998219685026
HDAC1,1420.8749916296956,1428.6429083519088,1399.0952143076047,1402.2033659492097,1428.3348309993803,1405.9137089625322,1414.1093979340353,1404.1425788039103,1420.9669173887044,1425.6889559544002,1363.858757979973,1406.827712048912,1428.027368989466,1408.150620763688
RBBP4,1573.7930994528208,1575.6012328347108,1558.0684606529937,1549.079408584517,1570.6315421343788,1568.7004105340284,1562.7412400128203,1558.2117472005182,1557.8631408968074,1581.1227284704855,1523.009657750392,1571.2928675056016,1573.7747466055062,1571.4885956233934
ZMYM4,1403.233282749247,1385.527064580191,1390.6045604706617,1362.7259422056275,1368.2970513748787,1380.8937663588952,1385.2159638786914,1388.2265226032985,1375.95522951408,1385.6464945491127,1386.4705018153288,1356.06570464719,1366.2455714785021,1380.037680547155
EIF2C1,1364.4171377956195,1348.1112142155225,1343.8525305086273,1356.0283091632575,1331.5291322580583,1371.6973871935775,1355.43146472284,1344.1922367275447,1360.7601689665903,1361.187514240275,1265.4942121081795,1383.1067497408762,1369.3215420748777,1369.210593639099
RPS27,1673.5435122766544,1692.802067657336,1680.2434073255413,1703.9955704237498,1709.48012456822,1678.4860283195474,1689.900187112154,1689.1570486896862,1686.3664065985322,1669.0647310866966,1673.129535640223,1711.9147664038114,1683.4571298149815,1679.3996562813072
MFSD2A,1459.025375519537,1487.3952963798436,1577.0367972467113,1527.280107879941,1462.82572282628,1522.4111947442445,1502.7574120065476,1597.4247449842674,1498.9991838545106,1503.8655359441266,1655.9015141309942,1457.2101950464473,1480.8595424513258,1465.3369023857174
RLF,1609.0545901305138,1613.9033046420766,1617.7558575598537,1611.4382881361619,1592.1477005756253,1619.033957039467,1617.5806339778796,1618.8396698182783,1620.6349879013003,1615.5342826817337,1635.4471940720816,1620.3617178803897,1601.6227128657679,1624.4378936525175
SMAP2,1768.009498048285,1758.1932441537408,1765.4027657432305,1762.5522463641314,1760.3170399593419,1752.5883837117908,1744.665894223573,1760.666871192872,1738.0504345273246,1744.174867430057,1779.926208826005,1751.4790175615058,1757.1307245161224,1752.9620094587353
ZNF642,1418.6123907315662,1407.9995483750906,1403.6459751762704,1410.4147555860748,1395.5110606893556,1394.7054084381602,1397.3429095880444,1390.1439719631976,1395.2654455563281,1404.0110545184325,1277.1145277501769,1396.1386449230238,1396.0873391628518,1409.5351307398005
NFYC,1723.5756343777512,1712.4897925854862,1707.1147619683566,1722.733925950826,1717.5522857894339,1716.1907731373985,1718.5125194665725,1713.58510823211,1714.8664406908467,1715.045016865931,1733.232244443182,1734.2987365131728,1725.7061439025565,1727.2281827288225
CTPS,1455.7993534031245,1462.85135724306,1516.3285539828266,1507.508649101372,1479.926410451639,1497.384422808092,1482.3898198317074,1508.8364040885758,1498.4329218662733,1498.2059831466293,1555.2506301227977,1500.3635763407688,1515.5125350242754,1484.9909244379196
PPCS,1444.0574003472957,1444.469758155067,1426.198890075847,1423.395684239447,1425.6221567287125,1443.8998222800203,1456.4356724938095,1444.4975968887225,1464.5499876689087,1459.8126900547127,1415.4906789191587,1462.4908332987663,1429.9013558890315,1463.6144734727472
YBX1,1790.6396183576805,1785.057815679482,1790.8091307009972,1792.8040854751519,1791.5669926727778,1791.2137225527263,1794.057919304674,1791.6431497646597,1786.2263671024841,1792.5395586780853,1797.140472132463,1800.3925954610113,1793.4973115473435,1800.865781013648
K,1416.3607533750387,1420.073682320943,1376.4671366909781,1415.7268793341352,1433.961880662511,1394.9649230737475,1399.6190146227245,1381.6319686213858,1394.6923611344978,1390.8381691567952,1360.3989827292737,1421.1677434830003,1419.9775876622898,1402.4908205945412
