,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
KCNAB2,11.7736,11.65811,11.78295,11.76168,11.49308,11.66682,11.75274,11.73526,11.91517,10.80895,11.89578,11.92573,11.82305,11.81551,11.87151,11.88268,11.91827,11.10964,11.88023,11.80213,11.68534,11.84706,11.85168,11.84316
PGD,12.09138,12.19308,12.09456,12.18317,12.22029,12.2044,12.08412,12.14114,12.29359,12.34125,12.28003,12.2987,12.39746,12.30935,12.34302,12.34407,12.19785,12.30517,12.30362,12.13529,12.29014,12.2579,12.28911,12.35299
RNU5E,10.44567,10.49438,10.48125,10.47975,10.29784,10.59162,10.67692,10.64875,10.45195,10.28355,10.73712,10.97296,10.95583,10.46769,10.77708,10.90655,10.17268,10.02724,10.56677,10.2275,9.93444,10.1332,9.824701,10.60767
PLOD1,10.68864,10.57311,10.68622,10.64175,10.52194,10.55255,10.75768,10.69255,10.2054,9.583244,10.1609,10.27812,10.17475,10.14705,10.09721,10.24924,10.36289,9.730327,10.32237,10.2883,10.17208,10.35784,10.36324,10.28597
MFN2,10.33641,10.17336,10.31723,10.30395,10.28382,10.22802,10.27665,10.33299,10.38821,10.0746,10.30464,10.24479,10.26335,10.33906,10.27498,10.29732,10.36629,10.07722,10.31382,10.31037,10.36901,10.35193,10.3035,10.26558
EFHD2,9.779495,10.19878,9.863747,9.854355,10.34745,10.15996,9.987857,9.863724,9.768445,10.13162,9.949176,9.889641,10.18011,9.864944,9.829037,9.889551,9.886766,10.36685,10.06087,10.12133,10.41537,9.956205,9.96435,9.825796
NECAP2,10.26678,10.70741,10.34183,10.35441,10.76952,10.6129,10.29539,10.40079,10.28664,10.91275,10.28595,10.28724,10.60828,10.41706,10.24718,10.29756,10.20221,10.69259,10.35728,10.38133,10.64087,10.44547,10.27691,10.29733
RPL11,11.29214,11.5183,11.58002,11.45214,11.5453,11.68668,11.62676,11.4298,11.45791,11.41559,11.51737,11.51733,11.48187,11.45251,11.46965,11.50733,11.46375,11.34454,11.66781,11.57576,11.53467,11.56267,11.42758,11.45051
PNRC2,11.56991,11.40547,11.44912,11.49672,11.34038,11.45308,11.44306,11.56926,11.48949,11.72169,11.44395,11.46832,11.42935,11.48803,11.47472,11.47282,11.51457,11.58712,11.44561,11.22268,11.39546,11.42385,11.46385,11.5627
SRRM1,10.49288,10.54585,10.49208,10.44628,10.62795,10.56103,10.62301,10.51736,10.39041,10.30527,10.57169,10.57968,10.56961,10.43641,10.60216,10.51251,10.49131,10.3274,10.55497,10.57736,10.65644,10.52257,10.6321,10.55022
