,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
OR4F17,2.797155,2.92303,2.681677,2.792392,2.848559,2.769326,2.865936,2.878839,2.928945,2.998397,2.758806,2.701707,2.796017,2.84604,2.819964,2.947936,2.820742,2.91057,2.906625,2.814629,2.696859,2.772464,2.725716,2.704007
OR4F16,3.996211,4.076768,4.228961,3.968,4.122972,3.917877,4.080551,4.20234,3.962312,4.149804,4.108735,3.857198,4.11737,4.099895,4.193371,4.067175,4.302435,4.361854,4.140924,4.100578,4.109092,4.387219,4.258374,4.083158
SAMD11,6.145244,6.023035,6.193437,6.198841,5.790114,6.19378,6.233316,6.554033,6.447859,6.223758,6.192607,6.26222,5.9792,6.361657,5.940135,6.117937,6.345879,6.313631,6.176176,6.379351,6.14369,6.371743,6.10864,6.042447
PLEKHN1,5.960125,6.246845,6.037925,6.124233,6.015615,6.182974,6.106166,6.336078,6.159523,6.403386,6.078001,5.977752,5.834898,6.03598,6.141335,5.889953,6.07128,6.255396,6.079775,6.209034,6.116946,6.054492,6.048872,6.022977
ISG15,5.856219,5.725297,5.96606,6.009751,5.841102,5.753067,5.874535,5.956901,6.216661,9.73983,6.116121,5.759384,5.839127,5.85623,5.881778,5.928771,5.862872,8.813557,5.858665,6.027842,5.801332,5.649072,5.562079,5.757367
AGRN,8.778766,8.841528,8.856413,8.790844,9.07849,8.951485,8.891325,8.987221,8.720766,9.333454,8.837748,8.825134,8.959641,8.821856,8.806292,8.779671,8.955973,9.414967,8.948358,9.122017,8.979105,8.914494,8.847994,8.721916
MIR200B,4.528465,4.515824,4.416535,4.631547,4.46246,4.478709,4.799356,4.56432,4.784857,4.727148,4.958301,4.771644,4.723036,4.696726,4.673776,4.552111,5.009714,4.934656,4.799895,4.746203,4.821348,4.555323,4.944021,4.662499
MIR200A,3.611722,3.933953,3.863187,3.806418,3.680192,3.751982,3.829704,3.730245,3.580728,3.743542,3.618838,3.785801,3.723922,3.321357,3.897204,3.683486,3.678455,3.533205,3.807717,3.594937,3.802625,3.518735,3.63307,3.656824
MIR429,4.981773,5.124786,5.113378,5.077252,4.977979,5.1348,5.083055,4.998184,5.47354,5.319311,5.369783,5.119913,4.901529,4.901084,5.058663,5.088301,5.130603,5.071249,5.216147,5.311835,4.998707,5.534152,5.136759,4.933244
TTLL10,6.291659,6.020997,6.271767,6.104154,6.098782,6.315425,6.283025,6.479901,6.364532,6.489628,6.127999,6.084015,5.912395,6.203856,6.213532,6.027966,6.379178,6.322471,6.25634,6.347034,6.407769,6.356377,6.143805,6.194184
B3GALT6,7.489798,7.941864,7.657284,7.687336,7.825759,7.740942,7.430781,7.72825,7.747658,7.887752,7.791549,7.845274,7.991485,7.881205,7.786706,7.792663,7.852388,7.963258,7.787756,7.888562,7.90416,7.86604,7.737384,7.737123
SCNN1D,5.72368,5.669527,5.43895,5.604753,5.542238,5.693848,5.466225,5.880645,5.751723,6.023586,5.571007,5.698833,5.404353,5.612061,5.62464,5.378716,5.679068,6.060273,5.471989,5.713139,5.421825,5.500348,5.510847,5.41058
PUSL1,8.387422,8.714253,8.427588,8.448833,8.559651,8.645005,8.432848,8.514888,8.394149,8.079811,8.480369,8.412024,8.621226,8.436822,8.344329,8.457417,8.397205,8.129123,8.454375,8.664311,8.594719,8.504021,8.33896,8.21544
GLTPD1,7.724913,7.796883,7.649606,7.634113,7.541968,7.688131,7.841455,7.725614,7.654997,7.135995,7.585102,7.634318,7.58414,7.644362,7.656888,7.616851,7.711101,7.167851,7.578528,7.610092,7.553373,7.642221,7.548646,7.457769
TAS1R3,5.687745,5.647227,5.824085,5.737047,5.796292,5.718765,5.876876,5.957156,6.170785,6.038588,5.890898,5.838507,5.665289,5.843708,5.684509,5.680999,6.038172,5.987648,5.837644,5.934443,6.017207,5.803608,5.781559,5.96698
VWA1,6.150877,5.849298,6.115197,6.033193,5.677135,6.079242,5.968439,6.315821,6.169212,6.315409,5.768271,5.896416,5.797126,5.936114,5.74365,5.833578,6.173984,6.334598,5.943642,6.219937,6.117246,6.184639,5.805598,5.747316
ATAD3C,5.980667,6.340477,6.043933,6.164518,6.101551,6.193395,6.011631,6.344059,6.079809,6.332961,6.015697,6.103233,6.207164,6.191666,6.172506,6.0794,6.139971,6.662355,6.133813,6.168255,6.283711,6.050802,6.077029,6.090893
ATAD3A,8.086182,8.250016,8.010574,7.961184,8.35661,8.203157,8.028473,7.860847,7.771839,7.881624,8.007914,8.047886,8.051958,7.975936,7.921523,7.917693,8.078478,8.271227,8.062002,8.261248,8.396942,8.296819,8.045634,8.06155
ATAD3B,7.442788,7.73774,7.584072,7.438655,8.046559,7.867959,7.480159,7.545326,7.494748,7.791542,7.455037,7.524126,7.686879,7.539767,7.456218,7.49684,7.564713,8.169064,7.611978,7.652473,8.022412,7.816268,7.622071,7.560336
MMP23B,6.783967,6.697351,6.680188,6.874124,6.58203,6.837006,6.6825,7.204538,6.724,6.984021,6.728004,6.543742,6.535982,6.759576,6.647964,6.419927,6.784683,6.903,6.725113,6.860297,6.816514,6.745885,6.583882,6.796259
CALML6,4.543003,4.420844,4.55333,4.309619,4.636732,4.324415,4.507913,4.34333,4.717683,4.345425,4.321163,4.438206,4.427691,4.154984,4.390457,4.351881,4.360026,4.325002,4.623319,4.523995,4.674617,4.377817,4.552225,4.29245
GABA,5.981781,5.668855,5.822019,5.974236,5.752509,6.048345,5.82742,6.085327,6.017206,6.180305,5.94358,5.592499,5.422833,5.853073,5.864866,5.546978,6.103931,5.759023,5.640102,6.002121,5.819949,5.953297,5.686791,5.771235
PRKCZ,5.84491,5.949389,5.922284,5.936449,5.776516,5.935906,5.976384,6.036764,5.718187,5.717104,5.699378,5.847124,5.889307,5.644777,5.618632,5.637057,5.794938,5.469313,5.90722,5.781854,5.639828,5.698617,5.607032,5.724595
PLCH2,5.923177,5.921279,5.7099,5.876687,5.796682,6.047708,5.907555,6.049349,6.021285,6.289717,5.959367,5.826622,5.555558,5.807535,5.758223,5.582436,5.930628,6.329248,5.818744,5.944294,6.021494,5.720491,5.675511,5.828274
ACTRT2,5.2687,5.520587,5.133221,5.370818,5.272289,5.228659,5.141478,5.529836,5.177313,5.57718,5.437173,5.262603,5.123387,5.237668,5.157317,5.310736,5.40094,5.475875,5.204706,5.167357,5.321257,5.285244,5.193005,5.269372
PRDM16,5.241313,4.868179,5.071638,5.09395,5.009887,5.196818,5.228233,5.407879,5.141067,5.329873,5.198534,5.251065,5.123353,5.170799,5.16822,4.982949,5.166336,5.182631,5.141622,5.261822,5.286635,5.100886,5.09256,5.132442
GEF,5.32971,5.422615,5.507905,5.495903,5.491418,5.409701,5.494083,5.880699,5.52905,5.52823,5.754963,5.536663,5.510705,5.579646,5.525158,5.586402,5.649326,5.606011,5.580355,5.813606,5.80713,5.507099,5.485618,5.493905
TPRG1L,9.355801,9.532817,9.286444,9.363031,9.30583,9.343369,9.33649,9.367111,9.11489,8.57836,9.19796,9.256554,9.233084,9.197718,9.279656,9.252324,9.38508,8.61485,9.074368,9.330989,8.981188,9.21627,9.186615,9.276325
TP73,8.043023,7.966947,7.824681,7.958012,7.811492,8.102012,8.15301,8.119917,7.730065,7.282923,7.512132,7.632093,7.474144,7.588843,7.611906,7.764013,7.96329,7.638145,7.673026,8.152645,7.685959,7.917261,7.934709,7.828245
CCDC27,5.833008,5.805049,5.817982,5.808353,5.564832,5.724919,5.621115,6.147687,5.661093,5.559682,5.452319,5.503481,5.208252,5.801153,5.337851,5.331093,5.637114,5.730045,5.656211,5.920714,5.750656,5.713394,5.651409,5.68903
AJAP1,4.842361,4.858003,5.08308,4.946407,4.814804,4.884642,4.918044,5.204223,5.162663,4.470942,4.785004,4.918343,4.581773,4.894105,4.925807,4.859378,4.773999,4.667041,4.813459,4.984742,4.804361,4.752679,4.749823,4.684763
KCNAB2,11.7736,11.65811,11.78295,11.76168,11.49308,11.66682,11.75274,11.73526,11.91517,10.80895,11.89578,11.92573,11.82305,11.81551,11.87151,11.88268,11.91827,11.10964,11.88023,11.80213,11.68534,11.84706,11.85168,11.84316
RNF207,5.812811,5.736846,5.657071,5.736264,5.660111,5.589872,5.788218,5.90908,5.772675,5.827023,5.677342,5.855292,5.587533,5.606269,5.663983,5.623327,5.711695,5.983947,5.623194,5.827425,5.78627,5.711236,5.69223,5.582318
